specObjID,bestObjID,plate,mjd,fiberID,z,survey,class,subClass,ra,dec,z1,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,dered_u,dered_g,dered_r,dered_i,dered_z,g_r,u_g,r_i,i_z,u_r,dered_g_r,dered_u_g,dered_r_i,dered_i_z,dered_u_r
1.850007e+18,1237662225151426744,1643,53143,557,0.04700357,sdss,GALAXY,STARFORMING,214.3858,36.33864,0.04700357,19.48912,18.02991,17.55387,17.27178,17.03618,0.0354894,0.0276531,0.01913028,0.01421585,0.01057398,17.36413,16.08018,15.48468,15.14507,14.89506,0.47604000000000113,1.4592099999999988,0.2820900000000002,0.23559999999999803,1.93525,0.5954999999999977,1.2839500000000008,0.3396100000000004,0.2500099999999996,1.8794499999999985
2.647122e+18,1237665369039044739,2351,53786,479,0.04839791,sdss,GALAXY,STARFORMING,155.1455,29.23633,0.04839791,19.78587,18.51067,17.62112,17.32313,17.2687,0.1207249,0.09406802,0.06507582,0.04835831,0.0359697,17.76237,16.39686,15.73352,15.37996,15.12368,0.8895499999999998,1.2751999999999981,0.2979900000000022,0.05442999999999998,2.164749999999998,0.6633399999999998,1.3655100000000004,0.3535599999999999,0.2562800000000003,2.0288500000000003
1.90292e+18,1237666209238024361,1690,53475,541,0.04721719,sdss,GALAXY,STARFORMING,252.8195,28.11459,0.04721719,19.23351,17.71741,17.25079,16.84144,16.4173,0.2622215,0.2043212,0.1413485,0.1050371,0.07812827,16.78871,15.44797,14.81445,14.50463,14.21505,0.4666200000000025,1.516099999999998,0.4093499999999999,0.42413999999999774,1.9827200000000005,0.633519999999999,1.3407399999999985,0.3098200000000002,0.28958000000000084,1.9742599999999975
2.439855e+18,1237665531721416752,2167,53889,110,0.04511689,sdss,GALAXY,STARFORMING,236.2144,17.85626,0.04511689,19.40187,18.05966,17.41435,17.04846,16.58893,0.1264302,0.09851352,0.0681512,0.05064365,0.03766957,16.94489,15.69059,15.01997,14.64254,14.36236,0.645310000000002,1.342209999999998,0.36589000000000027,0.45952999999999733,1.98752,0.6706199999999995,1.2543000000000006,0.3774300000000004,0.28017999999999965,1.9249200000000002
2.432031e+18,1237665127487373356,2160,53885,319,0.03262718,sdss,GALAXY,STARFORMING,229.5402,25.7032,0.03262718,18.96844,17.74635,17.27478,16.86883,16.50116,0.207377,0.1615868,0.111785,0.08306822,0.0617875,16.79844,15.43395,14.80317,14.45151,14.1936,0.4715699999999998,1.2220900000000015,0.4059500000000007,0.3676700000000004,1.6936600000000013,0.6307799999999997,1.36449,0.351659999999999,0.25791000000000075,1.9952699999999997
2.375752e+18,1237665227311611949,2110,53467,377,0.04996895,sdss,GALAXY,STARFORMING,201.5867,31.69997,0.04996895,18.89063,17.58149,16.9984,16.71509,16.37953,0.07582461,0.05908202,0.04087267,0.03037277,0.02259176,16.55008,15.28989,14.61992,14.26941,13.98644,0.5830899999999986,1.3091400000000029,0.2833100000000002,0.33556000000000097,1.8922300000000014,0.6699699999999993,1.2601900000000015,0.3505099999999999,0.2829700000000006,1.9301600000000008
1.580828e+18,1237661463840292961,1404,52825,234,0.04993216,sdss,GALAXY,STARFORMING,238.3981,32.30571,0.04993216,18.87833,17.6343,17.24089,17.00025,16.71188,0.0888998,0.06927013,0.04792075,0.03561025,0.02648749,17.42186,16.14213,15.60319,15.2973,15.09543,0.39340999999999937,1.2440299999999986,0.24063999999999908,0.28837000000000046,1.637439999999998,0.538940000000002,1.2797299999999971,0.3058899999999998,0.20186999999999955,1.8186699999999991
1.052832e+18,1237658192688316573,935,52643,421,0.04979065,sdss,GALAXY,STARFORMING,133.2976,37.13514,0.04979065,19.38094,17.7651,17.34921,16.93141,16.44552,0.1806784,0.1407834,0.09739329,0.07237365,0.0538327,17.0433,15.69817,14.9796,14.56498,14.26985,0.415890000000001,1.6158399999999986,0.4177999999999997,0.48589000000000127,2.0317299999999996,0.7185699999999997,1.3451299999999993,0.4146199999999993,0.29513000000000034,2.063699999999999
2.646041e+18,1237667212129009821,2350,53765,640,0.04985183,sdss,GALAXY,STARFORMING,156.3529,27.41842,0.04985183,20.00071,18.39299,17.64963,17.25164,16.86807,0.1249647,0.09737165,0.06736126,0.05005663,0.03723294,17.82924,16.31124,15.54935,15.15125,14.83639,0.7433600000000027,1.6077200000000005,0.39799000000000007,0.38356999999999886,2.351080000000003,0.7618900000000011,1.5179999999999971,0.39810000000000123,0.3148599999999995,2.279889999999998
1.894907e+18,1237662500545232957,1683,53436,65,0.04725403,sdss,GALAXY,STARFORMING,244.5778,34.11115,0.04725403,19.1327,17.51677,16.86479,16.43868,16.22765,0.07527731,0.05865557,0.04057765,0.03015354,0.0224287,17.1815,15.60563,14.8901,14.50301,14.24533,0.6519800000000018,1.6159299999999988,0.42610999999999777,0.21103000000000094,2.2679100000000005,0.7155299999999993,1.57587,0.3870900000000006,0.2576800000000006,2.2913999999999994
1.915197e+18,1237661816566448187,1701,53142,150,0.03933674,sdss,GALAXY,STARFORMING,206.9488,11.27416,0.03933674,19.29784,17.61359,17.10314,16.72006,16.35025,0.1478609,0.1152122,0.0797033,0.05922809,0.04405482,16.84752,15.43427,14.82979,14.49017,14.19919,0.5104499999999987,1.6842500000000022,0.38307999999999964,0.3698100000000011,2.194700000000001,0.6044800000000006,1.4132499999999997,0.33961999999999826,0.2909800000000011,2.0177300000000002
2.161894e+18,1237674371288727699,1920,53314,604,0.03989578,sdss,GALAXY,STARFORMING,119.1514,18.73824,0.03989578,18.91002,17.45276,16.80181,16.4321,16.0299,0.1603705,0.1249596,0.08644649,0.064239,0.04778202,16.71001,15.33577,14.64886,14.27208,13.99016,0.6509500000000017,1.457259999999998,0.3697100000000013,0.402199999999997,2.1082099999999997,0.6869099999999992,1.3742400000000004,0.3767800000000001,0.2819200000000013,2.0611499999999996
2.163005e+18,1237664836459298913,1921,53317,551,0.02888742,sdss,GALAXY,STARFORMING,119.0361,17.38068,0.02888742,19.53141,17.91417,17.21508,16.88851,16.39243,0.1530831,0.1192814,0.08251829,0.06131993,0.04561076,16.77545,15.32358,14.57826,14.1746,13.82179,0.6990899999999982,1.6172400000000025,0.32657000000000025,0.4960799999999992,2.3163300000000007,0.7453199999999995,1.4518699999999995,0.40366000000000035,0.35280999999999985,2.197189999999999
2.107758e+18,1237663788494160164,1872,53386,267,0.04620316,sdss,GALAXY,STARFORMING,122.5839,56.20731,0.04620316,19.92547,18.40655,17.83738,17.41544,16.8763,0.2068549,0.1611799,0.1115035,0.08285907,0.06163193,17.738,16.28281,15.59389,15.22573,14.91385,0.5691699999999997,1.5189200000000014,0.4219399999999993,0.5391399999999997,2.088090000000001,0.6889200000000013,1.4551899999999982,0.3681599999999996,0.3118800000000004,2.1441099999999995
6.463078e+17,1237654600491466869,574,52355,150,0.04842007,sdss,GALAXY,STARFORMING,154.1181,3.584099,0.04842007,19.21714,17.68212,16.91009,16.47044,16.20467,0.1139495,0.08878866,0.06142358,0.0456443,0.03395098,17.20244,15.55605,14.8128,14.41337,14.11972,0.7720300000000009,1.5350199999999994,0.4396500000000003,0.26576999999999984,2.3070500000000003,0.7432500000000015,1.6463899999999985,0.39942999999999884,0.2936500000000013,2.38964
2.475859e+18,1237665549974634923,2199,53556,18,0.04593839,sdss,GALAXY,STARFORMING,241.1642,16.74546,0.04593839,20.52747,18.80741,18.15408,17.71887,17.40788,0.1437458,0.1120058,0.07748508,0.05757972,0.04282873,18.23024,16.67244,15.89731,15.48777,15.19274,0.6533300000000004,1.7200600000000001,0.43521000000000143,0.3109900000000003,2.3733900000000006,0.7751300000000025,1.5577999999999967,0.4095399999999998,0.2950299999999988,2.3329299999999993
3.524691e+17,1237648703524175948,313,51673,227,0.03737487,sdss,GALAXY,STARFORMING,230.9463,-0.6397244,0.03737487,19.09624,17.75237,17.09832,16.70555,16.28355,0.4302945,0.3352826,0.2319469,0.1723614,0.1282052,17.09833,15.76447,15.05809,14.68518,14.37973,0.654049999999998,1.3438700000000026,0.3927700000000023,0.42199999999999704,1.9979200000000006,0.7063799999999993,1.3338600000000014,0.3729099999999992,0.30545000000000044,2.0402400000000007
6.237752e+17,1237654381978976376,554,52000,97,0.04580864,sdss,GALAXY,STARFORMING,141.1232,53.69384,0.04580864,19.59533,18.01347,17.41395,17.11967,16.83444,0.08224302,0.0640832,0.04433246,0.03294377,0.02450411,17.53059,16.15356,15.54564,15.19874,14.94086,0.5995200000000018,1.581859999999999,0.29428000000000054,0.28522999999999854,2.1813800000000008,0.6079199999999982,1.3770300000000013,0.34689999999999976,0.2578800000000001,1.9849499999999995
6.857141e+17,1237674478124531853,609,52339,149,0.04300113,sdss,GALAXY,STARFORMING,222.8152,62.00407,0.04300113,18.92209,17.407,16.72,16.2347,15.95093,0.07336482,0.05716537,0.03954674,0.02938747,0.02185887,16.92388,15.48151,14.75752,14.36545,14.03305,0.6870000000000012,1.5150900000000007,0.48529999999999873,0.2837700000000005,2.202090000000002,0.7239900000000006,1.4423700000000004,0.39207000000000036,0.3323999999999998,2.166360000000001
1.766605e+18,1237662226240962588,1569,53168,246,0.02297745,sdss,GALAXY,STARFORMING,251.1281,19.94076,0.02297745,18.34509,17.04227,16.62472,16.22994,15.81189,0.266317,0.2075124,0.1435561,0.1066776,0.07934853,16.04679,14.79521,14.18942,13.8672,13.63305,0.41754999999999853,1.3028200000000005,0.3947800000000008,0.41804999999999914,1.720369999999999,0.6057900000000007,1.2515800000000006,0.32221999999999973,0.23414999999999964,1.8573700000000013
4.752252e+17,1237649920576716958,422,51811,347,0.04176069,sdss,GALAXY,STARFORMING,15.99477,15.24728,0.04176069,19.46386,17.84142,16.92568,16.53079,16.24794,0.3634511,0.2831986,0.1959155,0.1455862,0.1082894,17.06758,15.54624,14.79744,14.3947,14.07287,0.9157399999999996,1.622440000000001,0.3948900000000002,0.2828499999999998,2.5381800000000005,0.7487999999999992,1.5213400000000004,0.40273999999999965,0.3218300000000003,2.2701399999999996
2.04134e+18,1237662237481304259,1813,53903,303,0.04988518,sdss,GALAXY,STARFORMING,219.3873,8.078619,0.04988518,19.63681,17.89141,17.12642,16.81218,16.48346,0.1131473,0.08816364,0.06099119,0.045323,0.03371198,17.32934,15.74458,14.98135,14.58706,14.26138,0.764990000000001,1.7454,0.3142399999999981,0.32872000000000057,2.510390000000001,0.7632299999999983,1.5847599999999993,0.3942900000000016,0.3256799999999984,2.3479899999999976
1.540372e+18,1237661852541059085,1368,53084,513,0.04315695,sdss,GALAXY,STARFORMING,178.0208,45.95184,0.04315695,18.74319,17.54133,16.91443,16.55071,16.33092,0.08195648,0.06385993,0.04417801,0.03282899,0.02441874,17.40243,16.21894,15.57665,15.23821,14.98292,0.6268999999999991,1.20186,0.3637200000000007,0.2197899999999997,1.828759999999999,0.6422899999999991,1.183489999999999,0.3384400000000003,0.25529000000000046,1.8257799999999982
2.105557e+18,1237663788492783676,1870,53383,453,0.03471062,sdss,GALAXY,STARBURST,119.8016,53.55722,0.03471062,17.91994,16.9003,16.66794,16.39825,16.00108,0.1625975,0.1266949,0.08764693,0.06513107,0.04844555,16.61681,15.46475,14.8975,14.59635,14.36942,0.2323599999999999,1.019639999999999,0.26969000000000065,0.39716999999999913,1.251999999999999,0.5672499999999996,1.1520600000000005,0.3011500000000016,0.2269299999999994,1.7193100000000001
8.095727e+17,1237656537511690304,719,52203,184,0.03838664,sdss,GALAXY,STARBURST,333.8174,-9.26324,0.03838664,17.67127,16.83437,16.28305,16.03283,15.83238,0.2317912,0.1806102,0.1249453,0.09284773,0.06906166,16.25537,15.061,14.4437,14.09935,13.85344,0.5513200000000005,0.8369,0.2502199999999988,0.20045000000000002,1.3882200000000005,0.6173000000000002,1.1943699999999993,0.3443500000000004,0.24590999999999852,1.8116699999999994
8.760758e+17,1237655371434885181,778,54525,457,0.03984166,sdss,GALAXY,STARBURST,181.5711,63.6386,0.03984166,18.03588,17.27197,16.62049,16.24438,15.97029,0.06982986,0.05441096,0.03764125,0.02797148,0.02080564,16.70979,15.62564,15.01102,14.62501,14.33925,0.6514799999999994,0.7639099999999992,0.3761100000000006,0.2740899999999993,1.4153899999999986,0.6146200000000004,1.084150000000001,0.38601000000000063,0.2857599999999998,1.6987700000000014
1.517808e+18,1237661850404978750,1348,53084,347,0.04184142,sdss,GALAXY,STARBURST,213.6384,40.75637,0.04184142,18.19473,17.06229,16.66301,16.30623,16.07845,0.04895394,0.03814458,0.02638824,0.01960929,0.01458571,16.98118,15.91254,15.3493,14.99777,14.73485,0.39928000000000097,1.132439999999999,0.35678000000000054,0.2277799999999992,1.53172,0.5632400000000004,1.0686399999999985,0.35153000000000034,0.2629199999999994,1.6318799999999989
2.482666e+18,1237665230521237570,2205,53793,208,0.0317166,sdss,GALAXY,STARBURST,241.9749,20.05106,0.0317166,17.95923,16.98635,16.60134,16.38441,16.16041,0.237854,0.1853343,0.1282134,0.09527629,0.07086805,16.59241,15.5456,15.0219,14.72767,14.51558,0.3850100000000012,0.97288,0.2169300000000014,0.2240000000000002,1.3578900000000012,0.5236999999999998,1.0468100000000007,0.29423000000000066,0.2120899999999999,1.5705100000000005
1.3545975455647273e+18,1237660343923507700,1203,52669,509,0.0454508,sdss,GALAXY,Galaxy_NaN,116.8463,22.3448,0.0454508,20.22669,18.62069,17.84409,17.62472,17.25249,0.2457974,0.1915236,0.1324952,0.09845811,0.07323474,17.5499,16.00947,15.29097,14.92062,14.6579,0.7765999999999984,1.6060000000000016,0.2193700000000014,0.3722299999999983,2.3826,0.7185000000000006,1.5404300000000006,0.3703500000000002,0.26271999999999984,2.258930000000001
