Element,SpectraLine,Color
MgH,4780,g
Mn_I,4784,g
ZrO,4792,g
Ti_II,4793,g
Fe_I,4800,g
TiO,4804,g
Ti_II,4807,g
Fe_II,4811,k
Cr_II,4824,g
ZrO,4827,g
SiC2,4832,g
Fe_I,4840,g
TiO,4847,g
Cr_II,4848,g
SiC2,4851,g
Ni_I,4855,g
He_I,4861,orange
H_beta,4860,r
H_beta,4862,r
SiC2,4867,g
Fe_II,4887,k
Fe_II,4890,k
Fe_II,4904,k
SiC2,4909,g
Fe_I,4920,g
He_I,4921,orange
He_I,4922,orange
Fe_II,4923,g
Fe_II,4924,g
Fe_III,4930,k
N_V,4933,g
Ba_II,4934,g
N_V,4935,g
N_V,4936,g
N_V,4937,g
N_V,4938,g
N_V,4939,g
N_V,4940,g
N_V,4941,g
N_V,4942,g
N_V,4943,g
N_V,4944,g
TiO,4955,g
Fe_I,4957,g
O_III,4959,g
O,4960,g
SiC2,4977,g
SiC2,4981,g
Ti_I,4982,g
C2,5006,g
O_III,5007,g
O_III,5008,g
He_I,5015,orange
He_I,5016,orange
Fe_II,5018,g
TiO,5020,g
Si_II,5041,g
He_I,5048,orange
Si_II,5056,g
C2,5095,g
C2,5096,g
C2,5097,g
C2,5098,g
C2,5099,g
C2,5100,g
C2,5101,g
C2,5102,g
C2,5103,g
C2,5104,g
C2,5105,g
C2,5106,g
C2,5107,g
C2,5108,g
C2,5109,g
C2,5110,g
Fe_III,5127,k
C2,5130,g
Fe_III,5156,k
C2,5165,g
Mg_I_Triplet,5167,aqua
Fe_II,5169,g
Mg_I,5170,g
Mg_I,5171,g
Mg_I,5172,g
Mg_I_Triplet,5173,aqua
Mg_I,5174,g
Mg_I,5175,g
Mg_I,5176,g
Mg_I,5177,g
Mg_I,5178,g
Mg_I,5179,g
Mg_I,5180,g
Mg_I,5181,g
Mg_I,5182,g
Mg_I_Triplet,5183,aqua
Mg_I_Triplet,5184,aqua
SiC2,5192,g
SiC2,5198,g
N,5202,g
Cr,5206,g
Cr,5207,g
Cr,5208,g
Fe_II,5235,g
TiO,5240,g
ZrO,5246,g
CN,5255,g
Fe_I,5270,g
Fe_II,5276,g
Cr,5297,g
Cr,5298,g
Sc_I,5303,g
ZrO,5305,g
TiO,5308,g
N_III,5314,g
Fe_II,5317,g
Fe_I,5328,g
Fe_II,5330,k
ZrO,5332,g
TiO,5359,g
ZrO,5375,g
ZrO,5379,g
Mn_I,5395,g
ZrO,5404,g
Fe_I,5405,g
ZrO,5407,g
He_II,5411,orange
He_II,5412,orange
Ti_I,5426,g
Fe_I,5428,g
Fe_I,5430,g
ZrO,5432,g
ZrO,5437,g
TiO,5448,g
TiO,5451,g
ZrO,5456,g
Hg,5461,g
ZrO,5463,g
Ni_I,5477,g
ZrO,5485,g
ZrO,5490,g
TiO,5497,g
C2,5502,g
Ca_I,5513,g
Ti_I,5514,g
ZrO,5515,g
Mg_I,5528,g
Fe_II,5534,k
ZrO,5539,g
C2,5541,g
Fe_I,5544,g
ZrO,5545,g
ZrO,5551,g
Fe_II,5560,k
O_V,5572,g
Fe_I,5573,g
O_V,5574,g
O_V,5575,g
O_V,5576,g
O_I,5577,g
O_V,5578,g
O_V,5579,g
O_V,5580,g
O_V,5581,g
O_V,5582,g
O_V,5583,g
O_V,5584,g
C2,5585,g
O_V,5586,g
O_V,5587,g
O_V,5588,g
O_V,5589,g
O_V,5590,g
O_V,5591,g
O_III,5592,g
ZrO,5593,g
O_V,5594,g
O_V,5595,g
O_V,5596,g
TiO,5597,g
O_V,5598,g
TiO,5603,g
Fe_I,5626,g
ZrO,5629,g
C2,5635,g
C2,5636,g
TiO,5668,g
C_III,5696,g
ZrO,5718,g
ZrO,5724,g
V_I,5727,g
Si_III,5739,g
ZrO,5748,g
CN,5749,g
Fe_I,5753,g
ZrO,5754,g
N_II,5755,g
TiO,5760,g
Hg,5770,g
Hg,5790,g
Cr,5791,g
C_IV,5801,g
C_IV,5802,g
C_IV,5803,g
C_IV,5804,g
C_IV,5805,g
C_IV,5806,g
C_IV,5807,g
C_IV,5808,g
C_IV,5809,g
C_IV,5810,g
C_IV,5811,g
C_IV,5812,g
TiO,5814,g
ZrO,5839,g
TiO,5847,g
ZrO,5849,g
Ba_II,5853,g
Ca_I,5857,g
ZrO,5860,g
Telluric,5861,k
Telluric,5862,k
Telluric,5863,k
Telluric,5864,k
Telluric,5865,k
Telluric,5866,k
Telluric,5867,k
Telluric,5868,k
Telluric,5869,k
ZrO,5870,g
Telluric,5871,k
Telluric,5872,k
Telluric,5873,k
Telluric,5874,k
He_I,5875,orange
He_I,5876,orange
Na_I,5889,r
Na_I,5890,r
Na_I,5892,r
Na_I,5893,r
Na_I,5894,r
Na_I,5895,r
Na_I,5896,r
Fe_I,5914,g
N_II,5932,g
Telluric,5940,k
N_II,5942,g
Telluric,5945,k
Telluric,5950,k
Telluric,5955,k
Telluric,5960,k
Telluric,5965,k
TiO,5968,g
Telluric,5970,k
Telluric,5975,k
ZrO,5983,g
Telluric,5980,k
Telluric,5985,k
Telluric,5990,k
TiO,5998,g
C2,6005,g
ZrO,6023,g
ZrO,6027,g
ZrO,6054,g
C2,6059,g
ZrO,6063,g
Ca_I,6103,g
Ca_I,6122,g
C2,6123,g
ZrO,6132,g
ZrO,6136,g
Fe_I,6137,g
ZrO,6154,g
TiO,6159,g
Ca_I,6161,g
Ca_I,6162,g
C2,6168,g
Ca_I,6169,g
Ca_I,6170,g
TiO,6180,g
C2,6191,g
ZrO,6201,g
CN,6206,g
ZrO,6229,g
CN,6259,g
ZrO,6261,g
TiO,6268,g
O2_a_band,6276,g
O2_a_band,6277,g
O2_a_band,6278,g
O2_a_band,6279,g
Telluric,6280,k
O2_a_band,6281,g
O2_a_band,6282,g
O2_a_band,6283,g
O2_a_band,6284,g
ZrO,6294,g
O_I,6300,g
S_III,6312,g
ZrO,6350,g
Si_II,6347,g
CN,6355,g
TiO,6358,g
O_I,6363,g
O_I,6364,g
O_I,6366,g
Si_II,6371,g
ZrO,6378,g
TiO,6384,g
CaH,6390,g
ZrO,6412,g
ZrO,6418,g
Ca_I,6439,b
ZrO,6447,g
Fe_II,6453,g
Fe_II,6454,g
Fe_II,6455,g
Fe_II,6456,g
Fe_II,6457,g
Fe_II,6458,g
ZrO,6475,g
TiO,6478,g
ZrO,6481,g
ZrO,6494,g
CN,6502,g
Fe_II,6512,g
Fe_II,6513,g
Fe_II,6514,g
Fe_II,6515,g
Fe_II,6516,g
Fe_II,6517,g
Fe_II,6518,g
VO,6532,g
N_II,6548,g
He_II,6560,orange
H_alpha,6563,r
H_alpha,6564,r
TiO,6569,g
Ca_I,6572,g
C_II,6578,g
C_II,6579,g
C_II,6580,g
C_II,6581,g
C_II,6582,g
N_II,6583,g
N_II,6584,g
TiO,6651,g
CN,6656,g
He_I,6678,orange
He_I,6680,orange
TiO,6681,g
Li,6708,g
Si_II,6713,g
TiO,6715,g
S_II,6716,g
S_II,6718,g
S_II,6730,g
S_II,6733,g
S_II,6736,g
ZrO,6743,g
CaH,6750,g
ZrO,6778,g
TiO,6782,g
ZrO,6787,g
TiO,6815,g
O2_B_band,6867,g
O2_B_band,6868,g
O2_B_band,6870,g
O2_B_band,6872,g
O2_B_band,6874,g
O2_B_band,6876,g
O2_B_band,6878,g
O2_B_band,6880,g
O2_B_band,6882,g
O2_B_band,6884,g
Cn,6890,g
CaH,6903,g
CaH,6908,g
CaH,6921,g
ZrO,6933,g
CN,6955,g
ZrO,6988,g
C_III,7037,g
TiO,7054,g
Ni_I,7063,
He_I,7065,orange
La,7066,g
TiO,7088,g
N_IV,7100,g
N_V,7102,g
N_V,7103,g
N_V,7104,g
N_V,7105,g
N_V,7106,g
N_V,7107,g
N_V,7108,g
N_V,7109,g
N_V,7110,g
N_V,7111,g
N_V,7112,g
N_V,7113,g
N_V,7114,g
N_V,7115,g
N_V,7116,g
N_V,7117,g
N_V,7118,g
N_V,7119,g
N_V,7120,g
N_V,7121,g
N_V,7122,g
N_V,7123,g
N_V,7124,g
N_V,7125,g
TiO,7126,g
N_V,7127,g
N_V,7128,g
N_V,7129,g
Ar_III,7135,g
Ar_III,7137,g
He_I,7281,orange
CN,7283,g
Telluric,7570,k
Telluric,7575,k
Telluric,7580,k
Telluric,7585,k
Telluric,7590,k
Telluric,7591,k
Telluric,7592,k
Telluric,7593,k
O2_A_band,7594,g
Telluric,7595,k
O2_A_band,7596,g
O2_A_band,7598,g
O2_A_band,7600,g
O2_A_band,7602,g
O2_A_band,7604,g
Telluric,7605,k
O2_A_band,7606,g
O2_A_band,7608,g
O2_A_band,7610,g
O2_A_band,7612,g
O2_A_band,7614,g
Telluric,7615,k
O2_A_band,7616,g
O2_A_band,7618,g
O2_A_band,7621,g
Telluric,7625,k
Telluric,7635,k
Telluric,7645,k
Telluric,7655,k
Telluric,7665,k
Telluric,7675,k
Telluric,7685,k
Telluric,7695,k
Telluric,7698,k
CN,7699,g
Telluric,7700,k
O_I,7772,g
O_I,7774,g
O_I,7775,g
O_I,8446,g
Ca_II,8498,r
C_III,8500,g
Ca_II,8542,r
He_I,8583,orange
Pa14,8600,r
Ca_II,8662,r
C_I,8727,g
Pa12,8752,r
Pa11,8865,r
Pa10,9017,r
Pa9,9229,r
Pa8,9546,r
Fe_II,9956,r
Fe_II,9997,r
Pa7,10048,r
He_II,10123,r
Fe_II,10173,r
